# sampleTime, q_w, q_x, q_y, q_z, systemTime, omega_x, omega_y, omega_z, alpha_x, alpha_y, alpha_z, p_x, p_y, p_z, v_x, v_y, v_z, a_x, a_y, a_z
0.2211538, 1, 3.3156564e-07, 9.1528953e-08, -2.1321054e-07, 0.221153848208838, -4.836163e-06, 2.0388391e-06, 2.0388379e-06, -2.2338696e-05, 1.2087413e-05, 1.208741e-05, 0, 0, 0, 0, 0, 0, 5.8636033e-06, -9.5367432e-07, 8.5243173e-06
0.2211538, 1, 3.3156564e-07, 9.1528953e-08, -2.1321054e-07, 0.221153848208838, -4.836163e-06, 2.0388391e-06, 2.0388379e-06, -2.2338696e-05, 1.2087413e-05, 1.208741e-05, 0, 0, 0, 0, 0, 0, 5.8636033e-06, -9.5367432e-07, 8.5243173e-06
0.2307692, 1, 2.9766662e-07, 1.0174693e-07, -1.9559981e-07, 0.2307692294001401, -5.1538032e-06, 2.211839e-06, 2.211837e-06, -2.3992323e-05, 1.2987305e-05, 1.2987298e-05, 0, 0, 0, 0, 0, 0, 6.122395e-06, -9.5367432e-07, 8.9143905e-06
0.2307692, 1, 2.9766662e-07, 1.0174693e-07, -1.9559981e-07, 0.2307692294001401, -5.1538032e-06, 2.211839e-06, 2.211837e-06, -2.3992323e-05, 1.2987305e-05, 1.2987298e-05, 0, 0, 0, 0, 0, 0, 6.122395e-06, -9.5367432e-07, 8.9143905e-06
0.2307692, 1, 2.9766662e-07, 1.0174693e-07, -1.9559981e-07, 0.2307692294001401, -5.1538032e-06, 2.211839e-06, 2.211837e-06, -2.3992323e-05, 1.2987305e-05, 1.2987298e-05, 0, 0, 0, 0, 0, 0, 6.122395e-06, -9.5367432e-07, 8.9143905e-06
0.2403846, 1, 2.6177534e-07, 1.1284664e-07, -1.7678516e-07, 0.2403846123147221, -5.5059609e-06, 2.405638e-06, 2.4056369e-06, -2.5753607e-05, 1.3957428e-05, 1.3957427e-05, 0, 0, 0, 0, 0, 0, 6.848154e-06, -9.5367432e-07, 1.0014463e-05
0.2403846, 1, 2.6177534e-07, 1.1284664e-07, -1.7678516e-07, 0.2403846123147221, -5.5059609e-06, 2.405638e-06, 2.4056369e-06, -2.5753607e-05, 1.3957428e-05, 1.3957427e-05, 0, 0, 0, 0, 0, 0, 6.848154e-06, -9.5367432e-07, 1.0014463e-05
0.2403846, 1, 2.6177534e-07, 1.1284664e-07, -1.7678516e-07, 0.2403846123147221, -5.5059609e-06, 2.405638e-06, 2.4056369e-06, -2.5753607e-05, 1.3957428e-05, 1.3957427e-05, 0, 0, 0, 0, 0, 0, 6.848154e-06, -9.5367432e-07, 1.0014463e-05
0.25, 1, 2.2367323e-07, 1.2492806e-07, -1.566365e-07, 0.2499999968329739, -5.8926348e-06, 2.620239e-06, 2.620237e-06, -2.7677643e-05, 1.5033768e-05, 1.503376e-05, 0, 0, 0, 0, 0, 0, 7.5670005e-06, -9.5367432e-07, 1.1106004e-05
0.25, 1, 2.2367323e-07, 1.2492806e-07, -1.566365e-07, 0.2499999968329739, -5.8926348e-06, 2.620239e-06, 2.620237e-06, -2.7677643e-05, 1.5033768e-05, 1.503376e-05, 0, 0, 0, 0, 0, 0, 7.5670005e-06, -9.5367432e-07, 1.1106004e-05
0.25, 1, 2.2367323e-07, 1.2492806e-07, -1.566365e-07, 0.2499999968329739, -5.8926348e-06, 2.620239e-06, 2.620237e-06, -2.7677643e-05, 1.5033768e-05, 1.503376e-05, 0, 0, 0, 0, 0, 0, 7.5670005e-06, -9.5367432e-07, 1.1106004e-05
0.2596154, 1, 1.8313665e-07, 1.3809122e-07, -1.3501959e-07, 0.2596153828426629, -6.3138268e-06, 2.855639e-06, 2.8556381e-06, -2.9805733e-05, 1.624325e-05, 1.6243242e-05, 0, 0, 0, 0, 0, 0, 8.2782635e-06, -9.5367432e-07, 1.2187885e-05
0.2596154, 1, 1.8313665e-07, 1.3809122e-07, -1.3501959e-07, 0.2596153828426629, -6.3138268e-06, 2.855639e-06, 2.8556381e-06, -2.9805733e-05, 1.624325e-05, 1.6243242e-05, 0, 0, 0, 0, 0, 0, 8.2782635e-06, -9.5367432e-07, 1.2187885e-05
0.2596154, 1, 1.8313665e-07, 1.3809122e-07, -1.3501959e-07, 0.2596153828426629, -6.3138268e-06, 2.855639e-06, 2.8556381e-06, -2.9805733e-05, 1.624325e-05, 1.6243242e-05, 0, 0, 0, 0, 0, 0, 8.2782635e-06, -9.5367432e-07, 1.2187885e-05
0.2692308, 1, 1.399445e-07, 1.5243613e-07, -1.118008e-07, 0.2692307702385063, -6.769536e-06, 3.1118409e-06, 3.1118391e-06, -3.2165375e-05, 1.7603812e-05, 1.7603808e-05, 0, 0, 0, 0, 0, 0, 8.9812847e-06, -9.5367432e-07, 1.3259019e-05
0.2692308, 1, 1.399445e-07, 1.5243613e-07, -1.118008e-07, 0.2692307702385063, -6.769536e-06, 3.1118409e-06, 3.1118391e-06, -3.2165375e-05, 1.7603812e-05, 1.7603808e-05, 0, 0, 0, 0, 0, 0, 8.9812847e-06, -9.5367432e-07, 1.3259019e-05
0.2692308, 1, 1.399445e-07, 1.5243613e-07, -1.118008e-07, 0.2692307702385063, -6.769536e-06, 3.1118409e-06, 3.1118391e-06, -3.2165375e-05, 1.7603812e-05, 1.7603808e-05, 0, 0, 0, 0, 0, 0, 8.9812847e-06, -9.5367432e-07, 1.3259019e-05
0.2788462, 1, 9.3882278e-08, 1.6806277e-07, -8.6849674e-08, 0.278846158921767, -7.2597632e-06, 3.388843e-06, 3.3888409e-06, -3.4770237e-05, 1.9124393e-05, 1.9124382e-05, 0, 0, 0, 0, 0, 0, 9.6754648e-06, -2.8610229e-06, 1.4318458e-05
0.2788462, 1, 9.3882278e-08, 1.6806277e-07, -8.6849674e-08, 0.278846158921767, -7.2597632e-06, 3.388843e-06, 3.3888409e-06, -3.4770237e-05, 1.9124393e-05, 1.9124382e-05, 0, 0, 0, 0, 0, 0, 9.6754648e-06, -2.8610229e-06, 1.4318458e-05
0.2788462, 1, 9.3882278e-08, 1.6806277e-07, -8.6849674e-08, 0.278846158921767, -7.2597632e-06, 3.388843e-06, 3.3888409e-06, -3.4770237e-05, 1.9124393e-05, 1.9124382e-05, 0, 0, 0, 0, 0, 0, 9.6754648e-06, -2.8610229e-06, 1.4318458e-05
0.2884615, 1, 4.474396e-08, 1.8507114e-07, -6.0040179e-08, 0.288461541501478, -7.7845061e-06, 3.686645e-06, 3.6866429e-06, -3.7620186e-05, 2.080488e-05, 2.0804875e-05, 0, 0, 0, 0, 0, 0, 1.0360294e-05, -2.8610229e-06, 1.5365413e-05
0.2884615, 1, 4.474396e-08, 1.8507114e-07, -6.0040179e-08, 0.288461541501478, -7.7845061e-06, 3.686645e-06, 3.6866429e-06, -3.7620186e-05, 2.080488e-05, 2.0804875e-05, 0, 0, 0, 0, 0, 0, 1.0360294e-05, -2.8610229e-06, 1.5365413e-05
0.2884615, 1, 4.474396e-08, 1.8507114e-07, -6.0040179e-08, 0.288461541501478, -7.7845061e-06, 3.686645e-06, 3.6866429e-06, -3.7620186e-05, 2.080488e-05, 2.0804875e-05, 0, 0, 0, 0, 0, 0, 1.0360294e-05, -2.8610229e-06, 1.5365413e-05
0.2980769, 1, -7.6674196e-09, 2.0356127e-07, -3.1251147e-08, 0.2980769234367019, -8.3437671e-06, 4.0052478e-06, 4.005246e-06, -4.0701263e-05, 2.2636186e-05, 2.2636174e-05, 0, 0, 0, 0, 0, 0, 1.1035359e-05, -2.8610229e-06, 1.6399277e-05
0.2980769, 1, -7.6674196e-09, 2.0356127e-07, -3.1251147e-08, 0.2980769234367019, -8.3437671e-06, 4.0052478e-06, 4.005246e-06, -4.0701263e-05, 2.2636186e-05, 2.2636174e-05, 0, 0, 0, 0, 0, 0, 1.1035359e-05, -2.8610229e-06, 1.6399277e-05
0.2980769, 1, -7.6674196e-09, 2.0356127e-07, -3.1251147e-08, 0.2980769234367019, -8.3437671e-06, 4.0052478e-06, 4.005246e-06, -4.0701263e-05, 2.2636186e-05, 2.2636174e-05, 0, 0, 0, 0, 0, 0, 1.1035359e-05, -2.8610229e-06, 1.6399277e-05
0.3076923, 1, -4.9346827e-08, 2.2363314e-07, -1.1075308e-08, 0.3076923070122892, -8.9375444e-06, 4.3446512e-06, 4.3446489e-06, -4.3985696e-05, 2.4600187e-05, 2.4600182e-05, 0, 0, 0, 0, 0, 0, 1.1910445e-05, -2.8610229e-06, 1.7698077e-05
0.3076923, 1, -4.9346827e-08, 2.2363314e-07, -1.1075308e-08, 0.3076923070122892, -8.9375444e-06, 4.3446512e-06, 4.3446489e-06, -4.3985696e-05, 2.4600187e-05, 2.4600182e-05, 0, 0, 0, 0, 0, 0, 1.1910445e-05, -2.8610229e-06, 1.7698077e-05
0.3076923, 1, -4.9346827e-08, 2.2363314e-07, -1.1075308e-08, 0.3076923070122892, -8.9375444e-06, 4.3446512e-06, 4.3446489e-06, -4.3985696e-05, 2.4600187e-05, 2.4600182e-05, 0, 0, 0, 0, 0, 0, 1.1910445e-05, -2.8610229e-06, 1.7698077e-05
0.3173077, 1, -9.4004797e-08, 2.4538676e-07, 1.0813083e-08, 0.3173076921155448, -9.5658397e-06, 4.7048552e-06, 4.7048529e-06, -4.7431913e-05, 2.6669757e-05, 2.6669748e-05, 0, 0, 0, 0, 0, 0, 1.2784923e-05, -3.8146973e-06, 1.8996083e-05
0.3173077, 1, -9.4004797e-08, 2.4538676e-07, 1.0813083e-08, 0.3173076921155448, -9.5658397e-06, 4.7048552e-06, 4.7048529e-06, -4.7431913e-05, 2.6669757e-05, 2.6669748e-05, 0, 0, 0, 0, 0, 0, 1.2784923e-05, -3.8146973e-06, 1.8996083e-05
0.3173077, 1, -9.4004797e-08, 2.4538676e-07, 1.0813083e-08, 0.3173076921155448, -9.5658397e-06, 4.7048552e-06, 4.7048529e-06, -4.7431913e-05, 2.6669757e-05, 2.6669748e-05, 0, 0, 0, 0, 0, 0, 1.2784923e-05, -3.8146973e-06, 1.8996083e-05
0.3269231, 1, -1.4180894e-07, 2.6892212e-07, 3.4515292e-08, 0.3269230786406565, -1.022865e-05, 5.0858589e-06, 5.0858571e-06, -5.0984549e-05, 2.8808765e-05, 2.8808765e-05, 0, 0, 0, 0, 0, 0, 1.3658774e-05, -3.8146973e-06, 2.029325e-05
0.3269231, 1, -1.4180894e-07, 2.6892212e-07, 3.4515292e-08, 0.3269230786406565, -1.022865e-05, 5.0858589e-06, 5.0858571e-06, -5.0984549e-05, 2.8808765e-05, 2.8808765e-05, 0, 0, 0, 0, 0, 0, 1.3658774e-05, -3.8146973e-06, 2.029325e-05
0.3269231, 1, -1.4180894e-07, 2.6892212e-07, 3.4515292e-08, 0.3269230786406565, -1.022865e-05, 5.0858589e-06, 5.0858571e-06, -5.0984549e-05, 2.8808765e-05, 2.8808765e-05, 0, 0, 0, 0, 0, 0, 1.3658774e-05, -3.8146973e-06, 2.029325e-05
0.3365385, 1, -1.9292682e-07, 2.9433926e-07, 6.013255e-08, 0.3365384664882996, -1.092598e-05, 5.4876641e-06, 5.4876618e-06, -5.4574401e-05, 3.097206e-05, 3.0972045e-05, 0, 0, 0, 0, 0, 0, 1.4531975e-05, -3.8146973e-06, 2.1589545e-05
